"Artifact_Gene","Major_Cluster","Subcluster","No..cell","Enrichment_Score","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","Avg_Exp","Source_of_Artifacts_SoA","SoA_No..cell","SoA_Enrichment_Score","SoA_avg_log2FC","SoA_pct.1","SoA_pct.2","SoA_p_val","SoA_p_val_adj","SoA_Avg_Exp"
"AC016723.4","M1","S0",305,0.000137567253206908,0.0687836266034538,0.007,0.005,0.722362349716336,1,0.00655737704918033,"M3",1913,2.08780399403933,3.41144443470479,0.616,0.004,0,0,1.04221635883904
"AC104389.28","M1","S0",305,0.000583697357414125,0.116739471482825,0.01,0.005,0.301615705364248,1,0.00983606557377049,"M3",1913,3.64311154629959,4.54253310012418,0.806,0.004,0,0,2.38839050131923
"ARPC5","M1","S0",305,0.00455577546224539,0.175222133163284,0.77,0.744,0.0121961577114674,1,1.50819672131147,"M2",1913,0.287494135231309,1.79683834519568,0.872,0.712,0,0,3.01766004415007
"BAZ1A","M1","S0",305,0.00648407030434884,0.209163558204801,0.754,0.723,0.00450954527828157,1,1.61311475409836,"M2",1913,0.181038141213298,1.57424470620259,0.752,0.637,1.66607122983528e-212,4.22165788927961e-208,2.05132450331124
"CA1","M1","S0",305,0.00238486561772788,0.198738801477323,0.023,0.011,0.0974462537983142,1,0.0229508196721312,"M3",1913,1.8243517733456,4.37494430058897,0.427,0.01,0,0,2.58047493403692
"CD82","M1","S0",305,0.00104168065002963,0.148811521432804,0.033,0.026,0.485809624004018,1,0.0327868852459016,"M4",1913,1.16888182891215,3.44802899384116,0.378,0.039,0,0,0.559339008512766
"CITED2","M1","S0",305,0.0304649363129415,0.380811703911769,0.607,0.527,1.1334539522963e-05,0.287205896972361,1.0983606557377,"M2",1913,0.187758151292214,1.42241023706223,0.669,0.537,1.30576522891388e-136,3.30867851354488e-132,1.49503311258277
"CMBL","M1","S0",305,0.00518371599458061,0.304924470269448,0.118,0.101,0.269555675056971,1,0.127868852459016,"M3",1913,1.02982239240929,2.22905279742271,0.515,0.053,0,0,0.856464379947223
"CNIH4","M1","S0",305,0.00124331638299218,0.0956397217686291,0.954,0.941,0.116101879027226,1,3.72459016393442,"M2",1913,0.215243715872941,1.51580081600663,0.826,0.684,4.70838609255733e-264,1.1930579519931e-259,2.74061810154522
"CR1L","M1","S0",305,0.00120347796317226,0.171925423310323,0.013,0.006,0.140932304161861,1,0.0131147540983607,"M3",1913,1.67743340721026,3.2634891190861,0.518,0.004,0,0,0.903957783641154
