"scCLINIC_ClusterID","scCLINICScore","No. cell (%)","No. cell","scCLINIC_Level","scCLINIC_Elbow_Point","CCS_M2","CCS_M3","CCS_M4","CCS_M1"
"M1_S0",0.000483048919232434,4.00420112905343,305,"7",0,0.000486988127161713,0.000470871473937081,0.000452643243059913,0
"M1_S1",0.00455571623043901,3.58408822371012,273,"5",0.00335917404917048,0.00295038388559825,0.0081398757563336,0.00221243175095006,0
"M1_S10",0.498800694148426,0.643297886306945,49,"1",0.443823182532815,1.28294168995107,0.0310418431295824,0.314720775732653,0
"M1_S11",0.443823182532815,0.577655244847053,44,"1",0.443823182532815,0.338675377306854,0.0132004893690356,1.08635879409758,0
"M1_S12",0.162903159092709,0.157542339503742,12,"2",0.150380770765214,0.0376181300243287,0.413514698941036,0.0327042625182887,0
"M1_S2",0.000418862367488322,2.71760535643954,207,"7",0,8.55360228586256e-05,0.000980288377512149,0.000157253712695126,0
"M1_S3",0.00592262984458359,2.70447682814756,206,"4",0.00549464020629378,0.00406080703741726,0.00763443382731639,0.00559883828145043,0
"M1_S4",0.0024424406574212,2.46816331889195,188,"6",0.00152067540928317,0.00126759973151582,0.0026789827843971,0.00326047783824284,0
"M1_S5",0.0076235812090306,2.45503479059997,187,"4",0.00549464020629378,0.00933836322033336,0.00476093492942852,0.00816155898060747,0
"M1_S6",0.00479282496536493,1.61480897991335,123,"5",0.00335917404917048,0.00354627889657809,0.00777750132550583,0.00267126867678168,0
"M1_S7",0.00255894488920546,1.57542339503742,120,"6",0.00152067540928317,0.0010758123511191,0.00373253117110001,0.00266377555426084,0
"M1_S8",0.00462459817285584,1.3391098857818,102,"5",0.00335917404917048,0.00377867196686776,0.00727126599683683,0.00245388870103445,0
"M1_S9",0.000345957074951837,1.27346724432191,97,"7",0,9.2108646009464e-05,0.000580480195034733,0.000404113262977278,0
"M2_S0",0.000159196446236744,3.93855848759354,300,"7",0,0,0.000200545857129031,1.1047976654683e-05,0.000255406946563115
"M2_S1",0.011052866221137,3.64973086517001,278,"3",0.011052866221137,0,0.00740496264019095,0.0210184838345084,0.00544164478981929
"M2_S2",0.00549464020629378,3.045818563739,232,"4",0.00549464020629378,0,0.00203628334132074,0.00862200143118697,0.00603191995709932
"M2_S3",0.0130548650254104,3.045818563739,232,"3",0.011052866221137,0,0.00747642244069918,0.0133280861438795,0.0183429330897756
"M2_S4",0.00335917404917048,2.87514769594328,219,"5",0.00335917404917048,0,0.00327561997272407,0.00210544792526019,0.00460395730659744
"M2_S5",0.0111435823402884,2.5600630169358,195,"3",0.011052866221137,0,0.0106502423188482,0.00787226968231775,0.0146650498246383
"M2_S6",0.000188228150928607,2.15307863988447,164,"7",0,0,0.000307255944309184,0.00012896445588289,0.000124911566912932
"M2_S7",0.00646777080542594,1.11592490481817,85,"4",0.00549464020629378,0,0.00667773492142715,0.00569778765805643,0.00697272416676047
"M2_S8",0.0566158006896274,1.06341079165026,81,"3",0.011052866221137,0,0.0432345472952287,0.0964282451466678,0.033014980531206
"M2_S9",0.198757076721061,0.34134173559144,26,"2",0.150380770765214,0,0.0180999449819088,0.567795105625999,0.0362345874633759
"M3_S0",0.000390614787744459,3.53157411054221,269,"7",0,0.000393938689768118,0,0.000338025089962516,0.000411257658414973
"M3_S1",0.00222032128352396,3.42654588420638,261,"6",0.00152067540928317,0.001650271457371,0,0.00105283315373103,0.00379123534650373
"M3_S10",0.389557619131091,0.538269659971117,41,"2",0.150380770765214,1.01731017259759,0,0.190183033340933,0.02649767856656
"M3_S2",0.00722200666115772,3.13771826178285,239,"4",0.00549464020629378,0.00717497750148042,0,0.00812917850966203,0.00632331814061357
"M3_S3",0.000716336904040776,3.09833267690692,236,"7",0,0.000629554743288916,0,0.00112097398396115,0.000359116367997146
"M3_S4",0.00152067540928317,3.045818563739,232,"6",0.00152067540928317,0.00301082557200523,0,0.000405970975366729,0.00104364781821494
"M3_S5",0.00222060817194692,2.87514769594328,219,"6",0.00152067540928317,0.00275752657472351,0,0.00214287938714619,0.00160215341071346
"M3_S6",0.0370423130055364,2.86201916765131,218,"3",0.011052866221137,0.0526776419178181,0,0.0576736988227887,0.0136217304329167
"M3_S7",0.00355634265472971,1.11592490481817,85,"5",0.00335917404917048,0.00226593245996317,0,0.0048594981432438,0.0033417439635789
"M3_S8",0.351906992549575,0.695811999474859,53,"2",0.150380770765214,0.20692542378592,0,0.874888833695307,0.0232224359113644
"M3_S9",0.282255181518125,0.551398188263096,42,"2",0.150380770765214,0.0433185284626203,0,0.0382279632219445,0.742944596537194
"M4_S0",0.0145725066439698,3.91230143100958,298,"3",0.011052866221137,0.0131883778675209,0.0101558715510729,0,0.0202150398655389
"M4_S1",0.00784138797787468,3.25587501641066,248,"4",0.00549464020629378,0.0192241013192645,0.00297537979380153,0,0.00210761491141904
"M4_S10",0.189203810699127,0.0656426414598923,5,"2",0.150380770765214,0.0444805628613654,0.456420760323689,0,0.0623111842544704
"M4_S2",0.0040491423301744,3.2296179598267,246,"5",0.00335917404917048,0.0112142879825274,0.000443928541870781,0,0.000987660198429693
"M4_S3",0.0182504833242194,3.01956150715505,230,"3",0.011052866221137,0.0201859130501215,0.0145993291085813,0,0.01998646943836
"M4_S4",0.000519648542641019,2.7438624130235,209,"7",0,0.000712524402617944,0.000742601043550686,0,0.000114500087868463
"M4_S5",0.0026361237594735,2.62570565839569,200,"6",0.00152067540928317,0.00664864435111544,0.00101195652040281,0,0.000524447758559501
"M4_S6",0.0139586706354312,2.45503479059997,187,"3",0.011052866221137,0.0250255212643222,0.00979450978488655,0,0.00777449209896737
"M4_S7",0.0125624004685639,2.40252067743206,183,"3",0.011052866221137,0.019085079885355,0.0071303207579887,0,0.0118663812497888
"M4_S8",0.0458779527901844,2.1924642247604,167,"3",0.011052866221137,0.0218918678447945,0.0396952814377718,0,0.0739818765067237
"M4_S9",0.150380770765214,0.315084679007483,24,"2",0.150380770765214,0.437736407201671,0.0248416865549072,0,0.0145897880619504
